Id,SalePrice
1461,108164.86550511222
1462,164134.43031087145
1463,170402.85013435467
1464,189849.10572144925
1465,221679.66053395928
1466,186167.5556049873
1467,172342.27477599564
1468,178334.61668125994
1469,209872.83969385643
1470,104563.07168462232
1471,210245.6047791898
1472,125327.54102099757
1473,111711.18282222154
1474,172033.3781245161
1475,149329.5308397814
1476,328609.6170459514
1477,264027.3664838236
1478,296022.8705744515
1479,285826.88599886606
1480,382818.5145333997
1481,303555.2021645369
1482,233884.52936665458
1483,188678.17995906319
1484,194631.52474381134
1485,184134.2116950543
1486,217058.7503689418
1487,313150.42811666464
1488,266927.33427758375
1489,201718.99440066156
1490,200667.32290119817
1491,212590.2253008664
1492,98713.2257790931
1493,184052.9970763115
1494,293039.66085663997
1495,290637.6665352571
1496,222515.90366935718
1497,213988.45668119902
1498,181028.3528486553
1499,181028.3528486553
1500,162791.66066180728
1501,180586.26456580544
1502,172159.95905868395
1503,265914.17911106406
1504,246186.56231969746
1505,222175.8419186268
1506,217934.661710297
1507,246678.4018099954
1508,201830.22815878002
1509,182326.00134012464
1510,152877.13144648948
1511,150962.1988932318
1512,170855.41100022686
1513,176184.91443989787
1514,158030.2759130085
1515,206435.94296877657
1516,166560.45162239543
1517,148691.21775571874
1518,175652.73634140042
1519,221513.2934230104
1520,128465.03198441793
1521,133710.28202160203
1522,190209.84672107396
1523,108350.49810218893
1524,113695.4060612556
1525,112881.73774238676
1526,115223.5049846418
1527,84375.81946265697
1528,140120.57926317607
1529,146112.14853452542
1530,185958.5037205622
1531,113330.9260522587
1532,83458.99995879596
1533,159422.8734667243
1534,138536.16233757325
1535,147875.04933154339
1536,116915.85868564143
1537,39048.495381792076
1538,181322.99293835287
1539,208018.7482095192
1540,143168.17047365976
1541,157043.1290484561
1542,146274.44820351212
1543,206051.5077196638
1544,65030.973500465625
1545,126046.8037497151
1546,143439.96346422494
1547,130519.15485777718
1548,149452.58251017856
1549,111853.96562437608
1550,142825.16582875268
1551,132259.17055433325
1552,144629.98828853935
1553,130477.50306995132
1554,131610.80849551398
1555,159871.20742999762
1556,105461.53350613441
1557,114489.1060468196
1558,114631.74208398291
1559,103145.10642416053
1560,141780.03840254236
1561,147851.86634326726
1562,109106.01798934361
1563,108264.98828008492
1564,167079.22772778897
1565,149856.75793831132
1566,216678.35263649304
1567,76799.57898928097
1568,209078.5408859317
1569,95116.9105587675
1570,128217.43587289297
1571,113594.44793178409
1572,129196.77841245709
1573,231367.76986824023
1574,150794.346891818
1575,217719.39609552547
1576,228749.65988141228
1577,202388.57289861562
1578,140973.9404171235
1579,137971.36444652395
1580,213390.45949335862
1581,124781.69483604026
1582,125256.58633691364
1583,298142.0306870559
1584,240072.74754772906
1585,153878.28211032867
1586,22158.148313140962
1587,96380.08160785527
1588,135906.62339667382
1589,106001.9595301341
1590,147888.60018553562
1591,77725.99815673125
1592,118404.96796169563
