id,price_doc
30474,5261309.6055512875
30475,6821394.465470508
30476,6819528.300015138
30477,5787343.047646916
30478,5122349.567399864
30479,8290743.306625347
30480,5416182.119303972
30481,5115080.971392429
30482,5179369.812778983
30483,5068433.867234403
30484,6706493.932547215
30485,5088050.026734332
30486,4675769.368106361
30487,4915832.031984007
30488,6086926.466851921
30489,6247228.215461075
30490,10408174.95809138
30491,9971604.368577048
30492,5874482.770669803
30493,9430813.655868433
30494,6151335.7873658165
30495,8296498.943604792
30496,8949182.216606874
30497,6957585.9756476525
30498,6221294.816247383
30499,8303778.426484672
30500,7966263.006818891
30501,7185867.8879432725
30502,4555804.676006852
30503,7417409.2014399255
30504,6624314.177724827
30505,8319693.455912732
30506,5373133.248278987
30507,5014491.70999839
30508,5969262.212535672
30509,6781302.7739249095
30510,7564411.193443828
30511,7499547.205636347
30512,6605753.825651523
30513,5433331.889636738
30514,6041974.291256856
30515,7472659.92216353
30516,5853851.790143623
30517,8767935.666134559
30518,7368854.156712404
30519,7176171.60471394
30520,7368290.426561327
30521,6216663.8781517465
30522,7094961.196568968
30523,7311379.471232489
30524,7833995.27564343
30525,10553576.753686847
30526,5021258.77028402
30527,5679372.154439837
30528,6997366.874342373
30529,7889984.550084608
30530,7330774.905359864
30531,8690429.630394746
30532,5402516.864557127
30533,8344607.733266554
30534,6125611.131866667
30535,7506530.718570743
30536,5891370.481056184
30537,9087228.01985482
30538,6658267.594142003
30539,13964285.391823698
30540,7547261.423111062
30541,9558808.693113795
30542,4557661.668955969
30543,6164968.827111296
30544,7393277.404508728
30545,9548877.347432293
30546,5057692.979877074
30547,8289661.837689173
30548,5381164.813656399
30549,5282202.57810477
30550,7712866.60836526
30551,5146022.182831693
30552,4524219.616807075
30553,9622032.442278087
30554,7916892.133426503
30555,6393719.028271628
30556,8236721.530077134
30557,8183357.475696093
30558,7123068.230943993
30559,7940497.543428574
30560,7827774.2589366725
30561,7737269.300711792
30562,8328735.021441057
30563,11208317.29934822
30564,7553271.260417058
30565,6881854.164527077
30566,6881769.717773413
30567,4553374.2263727775
30568,10389592.085119449
30569,8583122.30755442
30570,6748389.011992566
30571,6776497.689983258
30572,5034121.098033595
30573,6691059.139247726
30574,7471303.025488392
30575,6173962.959598942
30576,4915832.031984007
30577,7080306.224553468
30578,5423296.326502327
30579,7919205.736652026
30580,6570248.454923639
30581,5604546.298153285
30582,8492396.518994045
30583,6125611.131866667
30584,5563524.814904187
30585,4312402.522285689
30586,7393029.706181303
30587,6146703.396007707
30588,7519485.35024036
30589,7275144.150907525
30590,8096397.741085472
30591,6893639.410598577
30592,7226373.196101939
30593,8956042.124739978
30594,13390625.57419268
30595,7034349.237169129
30596,8887978.677979354
30597,6691059.139247726
30598,7574701.055643488
30599,9391565.791284176
30600,11980056.964322686
30601,6873262.617957231
30602,4557661.668955969
30603,8567244.013652312
30604,6544909.8665438695
30605,6774664.269619959
30606,10733354.570249671
30607,7589624.297996485
30608,6744074.516069558
30609,6247228.215461075
30610,4452611.628443048
30611,5969262.212535672
30612,7429232.097727776
30613,7869921.208794729
30614,9731126.727886656
30615,6732725.325153366
30616,5994986.868034821
30617,7220995.089083183
30618,5945630.654317606
30619,11109706.119934818
30620,5282239.465515327
30621,8463140.830390517
30622,10352224.999771573
30623,7306138.757253823
30624,6422928.199356697
30625,7038366.954470839
30626,7781740.997461717
30627,7241704.376491669
30628,6705207.699772257
30629,6337797.0667325165
30630,11289778.70842886
30631,5623980.349633265
30632,4826955.909012027
30633,7063011.031186478
30634,8734932.185680978
30635,7570842.357318616
30636,5521238.1566132195
30637,7573414.82286853
30638,7321306.609429988
30639,7985963.03973158
30640,5385189.8541334905
30641,7379830.822405665
30642,5849747.559181436
30643,7987681.009707009
30644,7599996.966884317
30645,6335852.247419599
30646,5622620.599169432
30647,5490464.526214311
30648,10964296.097638346
30649,5260802.25259937
30650,6696389.027733186
30651,5409147.765977794
30652,5363752.6412175335
30653,5930672.493872572
30654,5252227.367432987
30655,10203647.365265042
30656,4892396.3591725705
30657,6854584.144273797
30658,7479164.080351245
30659,5141400.010460856
30660,7691378.485014379
30661,6843598.781685103
30662,6979677.545598672
30663,9670675.796511158
30664,11050137.814110942
30665,6247228.215461075
30666,5256514.8100161785
30667,4930872.201806253
30668,8342445.751554712
30669,5326382.693210471
30670,4603471.333067673
30671,7928913.532782595
30672,10293254.915253744
30673,8092770.948758108
30674,11403067.816435162
30675,4557661.668955969
30676,7675524.74142391
30677,6824566.452461928
30678,9962500.872617982
30679,6584413.727489648
30680,7247924.999596499
30681,4257111.943874247
30682,6484289.061493773
30683,7728191.5001217425
30684,7774962.524396978
30685,7912710.431285489
30686,7458511.361638999
30687,5079475.141567949
30688,5036960.862346217
30689,11403619.50328457
30690,11152943.57129877
30691,6873134.221893352
30692,7101669.303438293
30693,6691144.742141633
30694,7609600.872740213
30695,7376934.768971538
30696,9077952.053064115
30697,10542919.306440465
30698,7988549.552340584
30699,6711200.9159776475
30700,5021258.77028402
30701,7601711.943917594
30702,7505810.4010084225
30703,4715439.556017415
30704,8187249.416195739
30705,8644683.880320765
30706,10492677.413487285
30707,6041974.291256856
30708,9209083.46117546
30709,6585588.051701216
30710,6248340.031999825
30711,5277952.022932136
30712,5072291.707575742
30713,8861445.05648239
30714,6257547.930008842
30715,5354202.529384499
30716,7728191.5001217425
30717,7408291.196622069
30718,8935489.773940168
30719,7930764.458931392
30720,8432881.028899327
30721,7590854.671823838
30722,6779609.550036248
30723,6143208.067044138
30724,8341598.4329274045
30725,7050227.071258535
30726,8644630.493809182
30727,7513390.626703849
30728,8971535.404188663
30729,5943363.111843452
30730,6508225.641624117
30731,6496617.650268223
30732,7576652.5631594425
30733,9115031.146439359
30734,6859858.276176432
30735,5752239.4009219855
30736,12297327.715478852
30737,8161952.246339048
30738,6825537.309382644
30739,5943363.111843452
30740,5970591.406050086
30741,7079707.106167885
30742,5403319.791554398
30743,5034121.098033595
30744,7359116.2142111175
30745,7724506.999872597
30746,5752239.4009219855
30747,10992495.400611993
30748,9471155.353519097
30749,7445751.355616214
30750,5803265.965154117
30751,5166386.955421859
